First Name,Last Name,Age,FA Year,eFG%,TRB,AST,PTS,PER,TOV%,USG%,BPM,VORP,ORtg
Keith,Bogans,33,2013,0.528,1.6,1,4.2,6.7,14.4,11.2,-1.3,0.3,105
Bojan,Bogdonovic,28,2017,0.53,3.4,1.4,13.7,13.5,12.1,22.4,-2.9,-0.5,108
Avery,Bradley,28,2018,0.474,2.5,2,14.3,9.6,13.3,23.5,-4.2,-0.8,92
Avery,Bradley,24,2014,0.485,3.8,1.4,14.9,12.7,9.9,23.2,-2.5,-0.2,100
Corey,Brewer,29,2015,0.465,3.7,2.2,11.5,13.9,12.7,21.6,-1.1,0.5,101
Corey,Brewer,27,2013,0.465,3.7,2.2,11.5,13.9,12.7,21.6,-1.1,0.5,101
Corey,Brewer,25,2011,0.426,2.5,1.3,8,11,13.2,18.8,-1.3,0.3,98
Shannon,Brown,26,2012,0.454,2.5,1.8,10.5,13.1,10.6,22.2,-2.1,0,99
Chase,Budinger,25,2013,0.535,3.7,1.3,9.6,14.9,9.9,19.5,0,0.6,110
Caron,Butler,35,2015,0.513,2.9,1,10.4,12.4,8.7,20.2,-1.6,0.2,107
Caron,Butler,31,2011,0.487,4.1,1.6,15,14.2,10.5,25.1,-1.4,0.1,100
Kentavious,Caldwell,25,2018,0.481,3.3,2.5,13.8,13.2,9.9,16.9,1,1.9,111
Kentavious,Caldwell,24,2017,0.481,3.3,2.5,13.8,12.8,7.9,19.2,0.9,1.8,107
DeMarre,Carroll,29,2015,0.579,5.3,1.7,12.6,15.9,9.3,16.9,2.9,2.7,117
Vince,Carter,37,2014,0.497,3.5,2.6,11.9,15.9,10.7,23.1,1.1,1.6,109
Vince,Carter,34,2011,0.502,3.8,2,14,14.8,8.5,23.5,0.3,1.2,106
Omri,Casspi,27,2015,0.53,3.9,1.5,8.9,14.4,14.7,18.7,-1.3,0.3,110
Wilson,Chandler,24,2011,0.509,5.7,1.7,15.3,14.6,9.2,20.9,-0.5,0.9,106
Daequan,Cook,24,2011,0.616,1.7,0.5,5.6,12.8,8.2,15.7,-0.2,0.3,122
Allen,Crabbe,23,2016,0.541,2.7,1.2,10.3,12.2,8.1,16.4,-0.7,0.7,114
Jamal,Crawford,36,2016,0.466,1.8,2.3,14.2,14,9.6,24.9,-2.6,-0.3,104
Jamal,Crawford,32,2012,0.438,2,3.2,14,15.7,11.8,26.6,-1.7,0.1,102
Jae,Crowder,25,2015,0.476,3.6,1.1,7.7,13.9,7.5,17.5,0.6,1.1,108
Seth,Curry,26,2016,0.567,1.4,1.5,6.8,13.8,12.7,17.4,-1.5,0.1,114
Troy,Daniels,24,2016,0.634,1.3,0.5,5.6,14.9,11.2,20.4,-1.1,0.1,110
Carlos,Delfino,31,2013,0.532,3.3,2,10.6,13.3,10,18.6,1.2,1.3,109
